CAR_CODE,CAR_TAG
1131,local
1132,local_express
1100,tze_chiang_diesel
1101,taroko
1102,taroko
1103,tze_chiang_diesel
1104,special
1105,tze_chiang
1106,special
1107,puyuma
1108,tze_chiang
1109,tze_chiang
110A,tze_chiang
110B,emu1200
110C,emu300
110D,tze_chiang_diesel
110E,tze_chiang_diesel
110F,tze_chiang_diesel
110G,emu3000
110H,emu3000
110K,special
1110,chu_kuang
1111,chu_kuang
1112,chu_kuang
1113,special
1114,chu_kuang
1115,chu_kuang
1120,fu_hsing
1130,special
1140,ordinary
1150,ordinary
0000,special