KIND,ID,DSC,EXTRA1
LINE_I,1827,蘇澳,0
LINE_I,1826,蘇澳新,72.64957265
LINE_I,1825,新馬,91.88034188
LINE_I,1824,冬山,181.6239316
LINE_I,1823,羅東,288.4615385
LINE_I,1822,中里,326.9230769
LINE_I,1821,二結,352.5641026
LINE_I,1820,宜蘭,476.4957265
LINE_I,1819,四城,555.5555556
LINE_I,1818,礁溪,655.982906
LINE_I,1817,頂埔,743.5897436
LINE_I,1816,頭城,790.5982906
LINE_I,1815,外澳,867.5213675
LINE_I,1814,龜山,944.4444444
LINE_I,1813,大溪,1042.735043
LINE_I,1812,大里,1143.162393
LINE_I,1811,石城,1200.854701
LINE_I,1810,福隆,1316.239316
LINE_I,1809,貢寮,1395.299145
LINE_I,1808,雙溪,1510.683761
LINE_I,1807,牡丹,1581.196581
LINE_I,1806,三貂嶺,1658.119658
LINE_I,1805,侯硐,1711.538462
LINE_I,1804,瑞芳,1809.82906
LINE_I,1803,四腳亭,1916.666667
LINE_I,1802,暖暖,1965.811966
LINE_I,1002,八堵,2000
LINE_J,1207,二水,0
LINE_J,2702,源泉,122
LINE_J,2703,濁水,455
LINE_J,2704,龍泉,661
LINE_J,2705,集集,846
LINE_J,2706,水里,1153
LINE_J,2707,車埕,1250
LINE_N,1715,花蓮,0
LINE_N,1714,北埔,113.636
LINE_N,1713,景美,277.778
LINE_N,1712,新城,411.616
LINE_N,1711,崇德,545.455
LINE_N,1710,和仁,800.505
LINE_N,1709,和平,994.949
LINE_N,1708,漢本,1101.010
LINE_N,NA,觀音號誌,1272.727
LINE_N,1706,武塔,1426.768
LINE_N,1705,南澳,1520.202
LINE_N,1704,東澳,1722.222
LINE_N,1703,永樂,1868.687
LINE_N,NA,永春,1901.515
LINE_N,1826,蘇澳新,2000
LINE_NW,1025,新竹,0
LINE_NW,1024,北新竹,63
LINE_NW,2212,千甲,161
LINE_NW,2213,新莊,296
LINE_NW,2203,竹中,354
LINE_NW,2204,上員,470
LINE_NW,2211,榮華,672
LINE_NW,2205,竹東,744
LINE_NW,2206,橫山,896
LINE_NW,2207,九讚頭,995
LINE_NW,2208,合興,1093
LINE_NW,2209,富貴,1151
LINE_NW,2210,內灣,1250
LINE_P,1238,高雄,0.0
LINE_P,1419,民族,39.152
LINE_P,1420,科工館,88.091
LINE_P,1421,正義,117.455
LINE_P,1402,鳳山,189.233
LINE_P,1403,後庄,309.951
LINE_P,1404,九曲堂,450.245
LINE_P,1405,六塊厝,613.377
LINE_P,1406,屏東 ,685.155
LINE_P,1407,歸來 ,769.984
LINE_P,1408,麟洛 ,845.024
LINE_P,1409,西勢 ,923.328
LINE_P,1410,竹田 ,1044.046
LINE_P,1411,潮州 ,1177.814
LINE_P,1412,崁頂 ,1334.421
LINE_P,1413,南州 ,1412.724
LINE_P,1414,鎮安 ,1530.179
LINE_P,1415,林邊 ,1634.584
LINE_P,1416,佳冬 ,1765.09
LINE_P,1417,東海 ,1866.232
LINE_P,1418,枋寮 ,2000
LINE_PX,2003,八斗子,0
LINE_PX,6103,海科館,24.9
LINE_PX,1804,瑞芳,234.064
LINE_PX,1805,侯硐,483.068
LINE_PX,1806,三貂嶺,607.57
LINE_PX,1903,大華,781.873
LINE_PX,1904,十分,926.295
LINE_PX,1905,望古,1015.936
LINE_PX,1906,嶺腳,1115.538
LINE_PX,1907,平溪,1165.339
LINE_PX,1908,菁桐,1250
LINE_S,1418,枋寮,0
LINE_S,1502,加祿,107.9429735
LINE_S,1503,內獅,177.1894094
LINE_S,1504,枋山,276.9857434
LINE_S,1505,枋野,417.5152749
LINE_S,1506,中央號誌,480.6517312
LINE_S,NA,菩安號誌,649.694501
LINE_S,1507,古莊,824.8472505
LINE_S,1508,大武,892.0570265
LINE_S,NA,富山號誌,1052.953157
LINE_S,1510,瀧溪,1130.346232
LINE_S,1511,多良,1240.325866
LINE_S,1512,金崙,1301.425662
LINE_S,NA,香蘭,1421.588595
LINE_S,NA,三和,1674.13442
LINE_S,1514,太麻里,1525.458248
LINE_S,1516,知本,1763.747454
LINE_S,1517,康樂,1906.313646
LINE_S,1632,台東,2000
LINE_T,1715,花蓮,0
LINE_T,NA,田浦,30.48376408
LINE_T,1602,吉安,45.0629556
LINE_T,NA,干城,108.6812459
LINE_T,1604,志學,164.3472498
LINE_T,1605,平和,202.7833002
LINE_T,1606,壽豐,227.9655401
LINE_T,1607,豐田,263.7508284
LINE_T,7007,林榮新光,345.9244533
LINE_T,1609,南平,375.0828363
LINE_T,1610,鳳林,430.7488403
LINE_T,1611,萬榮,494.3671306
LINE_T,1612,光復,568.5884692
LINE_T,1613,大富,670.6428098
LINE_T,1614,富源,710.4042412
LINE_T,NA,瑞北,792.5778661
LINE_T,1616,瑞穗,832.3392975
LINE_T,1617,三民,955.5997349
LINE_T,NA,大禹,1039.098741
LINE_T,1619,玉里,1101.39165
LINE_T,1621,東里,1190.19218
LINE_T,1622,東竹,1268.389662
LINE_T,1623,富里,1350.563287
LINE_T,1624,池上,1442.014579
LINE_T,1625,海端,1516.235918
LINE_T,1626,關山,1602.385686
LINE_T,1628,瑞和,1700.463883
LINE_T,1629,瑞源,1737.574553
LINE_T,1630,鹿野,1810.47051
LINE_T,1631,山里,1892.644135
LINE_T,1632,台東,2000
LINE_WM,1028,竹南 ,0
LINE_WM,1302,造橋 ,123.9766082
LINE_WM,1304,豐富 ,261.9883041
LINE_WM,1305,苗栗 ,355.5555556
LINE_WM,1307,南勢 ,509.9415205
LINE_WM,1308,銅鑼 ,608.1871345
LINE_WM,1310,三義 ,781.2865497
LINE_WM,1314,泰安 ,1036.25731
LINE_WM,1315,后里 ,1097.076023
LINE_WM,1317,豐原 ,1256.140351
LINE_WM,1318,潭子 ,1373.099415
LINE_WM,1323,太原 ,1492.397661
LINE_WM,1319,臺中 ,1588.304094
LINE_WM,1322,大慶 ,1686.549708
LINE_WM,1320,烏日 ,1756.725146
LINE_WM,1324,新烏日 ,1775.438596
LINE_WM,1321,成功 ,1833.918129
LINE_WM,1120,彰化 ,2000
LINE_WN,1001,基隆,0
LINE_WN,1029,三坑,31.1
LINE_WN,1002,八堵,88.517
LINE_WN,1003,七堵,143.541
LINE_WN,1030,百福,208.134
LINE_WN,1004,五堵,279.904
LINE_WN,1005,汐止,313.397
LINE_WN,1031,汐科,349.282
LINE_WN,1006,南港,456.938
LINE_WN,1007,松山,523.923
LINE_WN,1008,臺北,677.033
LINE_WN,1009,萬華,744.019
LINE_WN,1011,板橋,849.282
LINE_WN,1032,浮洲,909.091
LINE_WN,1012,樹林,978.469
LINE_WN,1034,南樹林,1026.316
LINE_WN,1013,山佳,1071.77
LINE_WN,1014,鶯歌,1177.033
LINE_WN,1015,桃園,1373.206
LINE_WN,1016,內壢,1514.354
LINE_WN,1017,中壢,1610.048
LINE_WN,1018,埔心,1748.804
LINE_WN,1019,楊梅,1844.498
LINE_WN,1020,富岡,2007.177
LINE_WN,1036,新富,2045.455
LINE_WN,1033,北湖,2083.732
LINE_WN,1021,湖口,2143.541
LINE_WN,1022,新豐,2291.866
LINE_WN,1023,竹北,2406.699
LINE_WN,1024,北新竹,2511.962
LINE_WN,1025,新竹,2545.455
LINE_WN,1035,三姓橋,2660.287
LINE_WN,1026,香山,2736.842
LINE_WN,1027,崎頂,2889.952
LINE_WN,1028,竹南,3000
LINE_WS,1120,彰化,0
LINE_WS,1202,花壇,104.817
LINE_WS,1240,大村,177.872
LINE_WS,1203,員林,233.457
LINE_WS,1204,永靖,289.042
LINE_WS,1205,社頭,347.803
LINE_WS,1206,田中,416.093
LINE_WS,1207,二水,508.205
LINE_WS,1208,林內,636.845
LINE_WS,1209,石榴,713.076
LINE_WS,1210,斗六,789.307
LINE_WS,1211,斗南,910.005
LINE_WS,1212,石龜,971.943
LINE_WS,1213,大林,1044.997
LINE_WS,1214,民雄,1137.11
LINE_WS,1241,嘉北,1243.515
LINE_WS,1215,嘉義,1284.807
LINE_WS,NA,北回,1356.273
LINE_WS,1217,水上,1389.624
LINE_WS,1218,南靖,1430.916
LINE_WS,1219,後壁,1526.204
LINE_WS,1220,新營,1648.491
LINE_WS,1221,柳營,1700.9
LINE_WS,1222,林鳳營,1762.837
LINE_WS,1223,隆田,1850.185
LINE_WS,1224,拔林,1885.124
LINE_WS,1225,善化,1958.179
LINE_WS,1244,南科,2004.235
LINE_WS,1226,新市,2078.878
LINE_WS,1227,永康,2158.285
LINE_WS,1239,大橋,2217.046
LINE_WS,1228,台南,2259.926
LINE_WS,NA,南臺南,2320.275
LINE_WS,1229,保安,2380.625
LINE_WS,1243,仁德,2402.859
LINE_WS,1230,中洲,2444.15
LINE_WS,1231,大湖,2490.206
LINE_WS,1232,路竹,2536.263
LINE_WS,1233,岡山,2660.138
LINE_WS,1234,橋頭,2717.311
LINE_WS,1235,楠梓,2784.013
LINE_WS,1242,新左營,2865.008
LINE_WS,1236,左營,2895.183
LINE_WS,1245,內惟,2920.593
LINE_WS,1246,美術館,2939.651
LINE_WS,1237,鼓山,2968.237
LINE_WS,1247,三塊厝,2992.059
LINE_WS,1238,高雄,3000
LINE_WSEA,1028,竹南,0
LINE_WSEA,1102,談文 ,99.77827051
LINE_WSEA,1104,大山 ,248.3370288
LINE_WSEA,1105,後龍 ,332.594235
LINE_WSEA,1106,龍港 ,412.4168514
LINE_WSEA,1107,白沙屯 ,592.0177384
LINE_WSEA,1108,新埔 ,660.7538803
LINE_WSEA,1109,通霄 ,789.3569845
LINE_WSEA,1110,苑裡 ,924.6119734
LINE_WSEA,1111,日南 ,1095.343681
LINE_WSEA,1112,大甲 ,1197.339246
LINE_WSEA,1113,臺中港 ,1314.855876
LINE_WSEA,1114,清水 ,1447.89357
LINE_WSEA,1115,沙鹿 ,1518.847007
LINE_WSEA,1116,龍井 ,1620.842572
LINE_WSEA,1117,大肚 ,1731.707317
LINE_WSEA,1118,追分 ,1842.572062
LINE_WSEA,1120,彰化 ,2000
LINE_SL,1230,中洲,0
LINE_SL,5101,長榮大學,318.868
LINE_SL,5102,沙崙,650