LINE,NAME,FOLDER,PREFIX,MAX_X_AXIS
LINE_WN,西部幹線北段(基隆-竹南),west_link_north,WESTNORTH_,3000
LINE_WM,西部幹線台中線(竹南-彰化，經苗栗),west_link_south,WESTMOUNTAIN_,2000
LINE_WSEA,西部幹線海岸線(竹南-彰化，經大甲),west_link_moutain,WESTSEA_,2000
LINE_WS,西部幹線南段(彰化-高雄),west_link_sea,WESTSOUTH_,4000
LINE_P,屏東線(高雄-枋寮),pingtung,PINGTUNG_,1500
LINE_S,南迴線(枋寮-台東),south_link,SOUTHLINK_,2000
LINE_T,台東線(花蓮-台東),taitung,TAITUNG_,2000
LINE_N,北迴線(蘇澳新-花蓮),north_link,NORTHLINK_,1500
LINE_I,宜蘭線(八堵-蘇澳),yilan,YILAN_,2000
LINE_PX,平溪深澳線(八斗子-菁桐),pingxi,PINGXI_,1250
LINE_LJ,內灣線(新竹-內灣),liujia,LIUJIA_,500
LINE_NW,六家線(新竹-六家),neiwan,NEIWAN_,1250
LINE_J,集集線(二水-車埕),jiji,JIJI_,1250
LINE_SL,沙崙線(中洲-沙崙),shalun,SHALUN_,650