KIND,ID,DSC,SVGYAXIS,TERMINAL
LINE_I,7120,蘇澳,0,Y
LINE_I,7130,蘇澳新,73,Y
LINE_I,7140,新馬,92,
LINE_I,7150,冬山,182,
LINE_I,7160,羅東,288,
LINE_I,7170,中里,327,
LINE_I,7180,二結,353,
LINE_I,7190,宜蘭,476,
LINE_I,7200,四城,556,
LINE_I,7210,礁溪,656,
LINE_I,7220,頂埔,744,
LINE_I,7230,頭城,791,
LINE_I,7240,外澳,868,
LINE_I,7250,龜山,944,
LINE_I,7260,大溪,1043,
LINE_I,7270,大里,1143,
LINE_I,7280,石城,1201,
LINE_I,7290,福隆,1316,
LINE_I,7300,貢寮,1395,
LINE_I,7310,雙溪,1511,
LINE_I,7320,牡丹,1581,
LINE_I,7330,三貂嶺,1658,
LINE_I,7350,侯硐,1712,
LINE_I,7360,瑞芳,1810,
LINE_I,7380,四腳亭,1917,
LINE_I,7390,暖暖,1966,
LINE_I,0920,八堵,2000,Y
LINE_J,3430,二水,0,Y
LINE_J,3431,源泉,122,
LINE_J,3432,濁水,455,
LINE_J,3433,龍泉,661,
LINE_J,3434,集集,846,
LINE_J,3435,水里,1153,
LINE_J,3436,車埕,1250,Y
LINE_N,7000,花蓮,0,Y
LINE_N,7010,北埔,85,
LINE_N,7020,景美,208,
LINE_N,7030,新城,309,
LINE_N,7040,崇德,409,
LINE_N,7050,和仁,600,
LINE_N,7060,和平,746,
LINE_N,7070,漢本,826,
LINE_N,NA,觀音號誌,936,
LINE_N,7080,武塔,1070,
LINE_N,7090,南澳,1140,
LINE_N,7100,東澳,1292,
LINE_N,7110,永樂,1402,
LINE_N,NA,永春,1426,
LINE_N,7130,蘇澳新,1500,Y
LINE_NW,1210,新竹,0,Y
LINE_NW,1190,北新竹,63,Y
LINE_NW,1191,千甲,161,
LINE_NW,1192,新莊,296,
LINE_NW,1193,竹中,354,
LINE_NW,1201,上員,470,
LINE_NW,1202,榮華,672,
LINE_NW,1203,竹東,744,
LINE_NW,1204,橫山,896,
LINE_NW,1205,九讚頭,995,
LINE_NW,1206,合興,1093,
LINE_NW,1207,富貴,1151,
LINE_NW,1208,內灣,1250,Y
LINE_P,4400,高雄,0,Y
LINE_P,4410,民族,34,
LINE_P,4420,科工館,59,
LINE_P,4430,正義,103,
LINE_P,4440,鳳山,142,
LINE_P,4450,後庄,232,
LINE_P,4460,九曲堂,338,
LINE_P,4470,六塊厝,460,
LINE_P,5000,"屏東 ",514,
LINE_P,5010,"歸來 ",577,
LINE_P,5020,"麟洛 ",634,
LINE_P,5030,"西勢 ",692,
LINE_P,5040,"竹田 ",783,
LINE_P,5050,"潮州 ",883,
LINE_P,5998,潮州機廠(南方小站),923,
LINE_P,NA,潮州基地(陽光小站),962,
LINE_P,5060,"崁頂 ",1001,
LINE_P,5070,"南州 ",1060,
LINE_P,5080,"鎮安 ",1148,
LINE_P,5090,"林邊 ",1226,
LINE_P,5100,"佳冬 ",1324,
LINE_P,5110,"東海 ",1400,
LINE_P,NA,建興,1444,
LINE_P,5120,"枋寮 ",1500,Y
LINE_PX,7362,八斗子,0,Y
LINE_PX,7361,海科館,25,
LINE_PX,7360,瑞芳,234,Y
LINE_PX,7350,侯硐,483,
LINE_PX,7330,三貂嶺,608,Y
LINE_PX,7331,大華,782,
LINE_PX,7332,十分,926,
LINE_PX,7333,望古,1016,
LINE_PX,7334,嶺腳,1116,
LINE_PX,7335,平溪,1165,
LINE_PX,7336,菁桐,1250,Y
LINE_S,5120,枋寮,0,Y
LINE_S,5130,加祿,108,
LINE_S,5140,內獅,177,
LINE_S,5160,枋山,277,
LINE_S,5170,枋野,418,
LINE_S,NA,中央號誌,481,
LINE_S,NA,菩安號誌,650,
LINE_S,NA,古莊號誌,825,
LINE_S,5190,大武,892,
LINE_S,NA,富山號誌,1053,
LINE_S,5200,瀧溪,1130,
LINE_S,NA,多良,1240,
LINE_S,5210,金崙,1301,
LINE_S,NA,香蘭,1422,
LINE_S,NA,三和,1674,
LINE_S,5220,太麻里,1525,
LINE_S,5230,知本,1764,
LINE_S,5240,康樂,1906,
LINE_S,6000,台東,2000,Y
LINE_SL,4270,中洲,0,Y
LINE_SL,4271,長榮大學,318.868,
LINE_SL,4272,沙崙,650,Y
LINE_T,6000,台東,1,Y
LINE_T,6010,山里,107,
LINE_T,NA,中興,163,
LINE_T,6020,鹿野,190,
LINE_T,6030,瑞源,262,
LINE_T,6040,瑞和,300,
LINE_T,6050,關山,398,
LINE_T,NA,德高,441,
LINE_T,6060,海端,484,
LINE_T,6070,池上,558,
LINE_T,NA,三台,598,
LINE_T,NA,富南,661,
LINE_T,6080,富里,649,
LINE_T,NA,富北,669,
LINE_T,6090,東竹,732,
LINE_T,6100,東里,810,
LINE_T,6110,玉里,899,
LINE_T,NA,泰昌,912,
LINE_T,NA,大禹,961,
LINE_T,6120,三民,1044,
LINE_T,NA,舞鶴號誌站,1108,
LINE_T,6130,瑞穗,1168,
LINE_T,NA,瑞北,1207,
LINE_T,6140,富源,1290,
LINE_T,6150,大富,1329,
LINE_T,NA,大興,1405,
LINE_T,6160,光復,1431,
LINE_T,6170,萬榮,1506,
LINE_T,6180,鳳林,1569,
LINE_T,6190,南平,1625,
LINE_T,6200,林榮新光,1654,
LINE_T,NA,溪口,1682,
LINE_T,6210,豐田,1736,
LINE_T,6220,壽豐,1772,
LINE_T,6230,平和,1797,
LINE_T,6240,志學,1836,
LINE_T,NA,干城,1891,
LINE_T,6250,吉安,1955,
LINE_T,NA,田浦,1970,
LINE_T,7000,花蓮,2000,Y
LINE_WM,1250,"竹南 ",0,Y
LINE_WM,3140,"造橋 ",124,
LINE_WM,3150,"豐富 ",262,
LINE_WM,3160,"苗栗 ",356,
LINE_WM,3170,"南勢 ",510,
LINE_WM,3180,"銅鑼 ",608,
LINE_WM,3190,"三義 ",781,
LINE_WM,3210,"泰安 ",1036,
LINE_WM,3220,"后里 ",1097,
LINE_WM,3230,"豐原 ",1256,
LINE_WM,3240,栗林,1315,
LINE_WM,3250,"潭子 ",1373,
LINE_WM,3260,頭家厝,1418,
LINE_WM,3270,松竹,1457,
LINE_WM,3280,"太原 ",1492,
LINE_WM,3290,精武,1539,
LINE_WM,3300,"臺中 ",1588,
LINE_WM,3310,五權,1635,
LINE_WM,3320,"大慶 ",1687,
LINE_WM,3330,"烏日 ",1757,
LINE_WM,3340,"新烏日 ",1775,
LINE_WM,3350,"成功 ",1834,
LINE_WM,3360,"彰化 ",2000,Y
LINE_WN,0900,基隆,"0 ",Y
LINE_WN,0910,三坑,"31 ",
LINE_WN,0920,八堵,"89 ",Y
LINE_WN,0930,七堵,"144 ",
LINE_WN,0940,百福,"208 ",
LINE_WN,0950,五堵,"280 ",
LINE_WN,0960,汐止,"313 ",
LINE_WN,0970,汐科,"349 ",
LINE_WN,0980,南港,"457 ",
LINE_WN,0990,松山,"524 ",
LINE_WN,1000,臺北,"677 ",
LINE_WN,1010,萬華,"744 ",
LINE_WN,1020,板橋,"849 ",
LINE_WN,1030,浮洲,"909 ",
LINE_WN,1040,樹林,"978 ",
LINE_WN,1050,南樹林,"1026 ",
LINE_WN,1060,山佳,"1072 ",
LINE_WN,1070,鶯歌,"1177 ",
LINE_WN,1075,鳳鳴,"1297 ",
LINE_WN,1080,桃園,"1373 ",
LINE_WN,1090,內壢,"1514 ",
LINE_WN,1100,中壢,"1610 ",
LINE_WN,1110,埔心,"1749 ",
LINE_WN,1120,楊梅,"1844 ",
LINE_WN,1130,富岡,"2007 ",
LINE_WN,1140,新富,"2045 ",
LINE_WN,1150,北湖,"2084 ",
LINE_WN,1160,湖口,"2144 ",
LINE_WN,1170,新豐,"2292 ",
LINE_WN,1180,竹北,"2407 ",
LINE_WN,1190,北新竹,"2512 ",
LINE_WN,1210,新竹,"2545 ",
LINE_WN,1220,三姓橋,"2660 ",
LINE_WN,1230,香山,"2737 ",
LINE_WN,1240,崎頂,"2890 ",
LINE_WN,1250,竹南,"3000 ",Y
LINE_WS,3360,彰化,"0 ",Y
LINE_WS,3370,花壇,"140 ",
LINE_WS,3380,大村,"237 ",
LINE_WS,3390,員林,"311 ",
LINE_WS,3400,永靖,"385 ",
LINE_WS,3410,社頭,"464 ",
LINE_WS,3420,田中,"555 ",
LINE_WS,3430,二水,"678 ",
LINE_WS,3450,林內,"849 ",
LINE_WS,3460,石榴,"951 ",
LINE_WS,3470,斗六,"1052 ",
LINE_WS,3480,斗南,"1213 ",
LINE_WS,3490,石龜,"1296 ",
LINE_WS,4050,大林,"1393 ",
LINE_WS,4060,民雄,"1516 ",
LINE_WS,4070,嘉北,"1658 ",
LINE_WS,4080,嘉義,"1713 ",
LINE_WS,NA,北回歸線,"1808 ",
LINE_WS,4090,水上,"1853 ",
LINE_WS,4100,南靖,"1908 ",
LINE_WS,4110,後壁,"2035 ",
LINE_WS,4120,新營,"2198 ",
LINE_WS,4130,柳營,"2268 ",
LINE_WS,4140,林鳳營,"2350 ",
LINE_WS,4150,隆田,"2467 ",
LINE_WS,4160,拔林,"2513 ",
LINE_WS,4170,善化,"2611 ",
LINE_WS,4180,南科,"2672 ",
LINE_WS,4190,新市,"2772 ",
LINE_WS,4200,永康,"2878 ",
LINE_WS,4210,大橋,"2956 ",
LINE_WS,4220,台南,"3013 ",
LINE_WS,NA,南臺南,"3094 ",
LINE_WS,4250,保安,"3174 ",
LINE_WS,4260,仁德,"3204 ",
LINE_WS,4270,中洲,"3259 ",
LINE_WS,4290,大湖,"3320 ",
LINE_WS,4300,路竹,"3382 ",
LINE_WS,4310,岡山,"3547 ",
LINE_WS,4320,橋頭,"3623 ",
LINE_WS,4330,楠梓,"3712 ",
LINE_WS,4340,新左營,"3820 ",
LINE_WS,4350,左營,"3860 ",
LINE_WS,4360,內惟,"3894 ",
LINE_WS,4370,美術館,"3920 ",
LINE_WS,4380,鼓山,"3958 ",
LINE_WS,4390,三塊厝,"3989 ",
LINE_WS,4400,高雄,"4000 ",Y
LINE_WSEA,1250,竹南,0,Y
LINE_WSEA,2110,"談文 ",100,
LINE_WSEA,2120,"大山 ",248,
LINE_WSEA,2130,"後龍 ",333,
LINE_WSEA,2140,"龍港 ",412,
LINE_WSEA,2150,"白沙屯 ",592,
LINE_WSEA,2160,"新埔 ",661,
LINE_WSEA,2170,"通霄 ",789,
LINE_WSEA,2180,"苑裡 ",925,
LINE_WSEA,2190,"日南 ",1095,
LINE_WSEA,2200,"大甲 ",1197,
LINE_WSEA,2210,"臺中港 ",1315,
LINE_WSEA,2220,"清水 ",1448,
LINE_WSEA,2230,"沙鹿 ",1519,
LINE_WSEA,2240,"龍井 ",1621,
LINE_WSEA,2250,"大肚 ",1732,
LINE_WSEA,2260,"追分 ",1843,
LINE_WSEA,3360,"彰化 ",2000,Y
LINE_LJ,1210,新竹,0,Y
LINE_LJ,1190,北新竹,64,
LINE_LJ,1191,千甲,164,
LINE_LJ,1192,新莊,300,
LINE_LJ,1193,竹中,359,
LINE_LJ,1194,六家,500,Y